ZCTA5,white,black,hispanic_or_latino
601,0.811,0.006,0.998
602,0.578,0.024,0.935
603,0.682,0.042,0.968
606,0.592,0.028,0.998
610,0.581,0.036,0.979
612,0.828,0.052,0.996
616,0.894,0.041,0.995
617,0.919,0.023,0.994
622,0.613,0.013,0.991
623,0.599,0.034,0.999
624,0.83,0.031,0.997
627,0.797,0.021,0.993
631,0.731,0,0.995
637,0.792,0.025,0.993
638,0.96,0.007,0.996
641,0.783,0.015,0.996
646,0.77,0.128,0.982
647,0.808,0.017,1
650,0.93,0.018,0.996
652,0.888,0.015,0.996
653,0.763,0.031,0.995
656,0.836,0.027,0.995
659,0.972,0.007,0.998
660,0.356,0.019,0.994
662,0.698,0.058,0.985
664,0.866,0.007,0.998
667,0.618,0.019,0.999
669,0.792,0.008,0.995
670,0.734,0.008,0.99
674,0.857,0.042,0.986
676,0.728,0.032,0.991
677,0.583,0.014,0.903
678,0.766,0.051,0.991
680,0.447,0.037,0.993
682,0.398,0.036,0.988
683,0.744,0.022,0.996
685,0.802,0.021,0.991
687,0.926,0.01,0.998
688,0.934,0.016,0.991
690,0.585,0.013,0.95
692,0.787,0.105,0.983
693,0.9,0.037,0.967
698,0.841,0.031,0.996
703,0.808,0.079,0.993
704,0.633,0.163,0.985
705,0.822,0.068,0.996
707,0.446,0.482,0.988
714,0.577,0.222,0.998
715,0.503,0.229,0.991
716,0.792,0.054,0.992
717,0.776,0.05,0.987
718,0.642,0.05,0.996
719,0.732,0.061,0.997
720,0.85,0.022,0.998
723,0.509,0.411,0.997
725,0.751,0.093,0.99
727,0.791,0.069,0.99
728,0.814,0.044,0.995
729,0.487,0.14,0.997
730,0.783,0.067,0.99
731,0.822,0.017,0.996
735,0.595,0.083,0.989
736,0.78,0.041,0.994
738,0.58,0.1,0.99
739,0.797,0.055,0.997
740,0.572,0.176,1
741,0.413,0.302,1
745,0.527,0.132,0.995
751,0.552,0.207,0.992
754,0.851,0.066,0.998
757,0.588,0.196,0.996
765,0.473,0.125,0.963
766,0.541,0.035,0.999
767,0.544,0.364,0.999
769,0.661,0.158,0.994
771,0.643,0.308,0.996
772,0.153,0.407,0.999
773,0.583,0.086,0.984
775,0.498,0.047,0.941
777,0.637,0.052,0.994
778,0.657,0.138,0.985
780,0.743,0.024,0.987
782,0.69,0.053,0.997
783,0.722,0.048,0.992
784,0.74,0.127,0.992
791,0.597,0.114,0.988
794,0.737,0.029,1
795,0.516,0.106,0.999
901,0.735,0.118,0.944
906,0.908,0,1
907,0.755,0.108,0.953
909,0.577,0.128,0.99
911,0.718,0.09,0.913
912,0.498,0.188,0.982
913,0.568,0.128,0.989
915,0.451,0.173,0.99
917,0.747,0.144,0.991
918,0.858,0.045,0.99
920,0.684,0.211,0.986
921,0.647,0.247,0.99
923,0.718,0.14,0.985
924,0.639,0.158,0.982
925,0.571,0.133,0.951
926,0.78,0.071,0.988
927,0.872,0.046,0.97
934,0.179,0.821,0
936,0.778,0.02,0.992
949,0.571,0.08,0.992
952,0.412,0.089,0.995
953,0.742,0.079,0.992
956,0.664,0.086,0.993
957,0.629,0.06,0.995
959,0.642,0.066,0.989
960,0.426,0.089,0.981
961,0.517,0.073,0.985
962,0.629,0.11,0.992
965,0.571,0.083,0.994
966,0.827,0.037,0.987
968,0.91,0.024,0.979
969,0.825,0.039,0.981
971,0.702,0.078,0.995
976,0.744,0.098,0.993
979,0.712,0.145,0.932
982,0.538,0.269,0.998
983,0.525,0.251,0.992
985,0.54,0.262,0.994
987,0.554,0.224,0.993
1001,0.917,0.015,0.075
1002,0.783,0.057,0.062
1003,0.77,0.058,0.047
1005,0.968,0.02,0.015
1007,0.934,0.008,0.02
1008,0.99,0,0.003
1009,1,0,0
1010,0.996,0.002,0.012
1011,0.96,0.01,0.033
1012,0.985,0,0.021
1013,0.843,0.035,0.251
1020,0.888,0.031,0.146
1022,0.731,0.164,0.106
1026,0.957,0.032,0.01
1027,0.933,0.018,0.066
1028,0.902,0.061,0.028
1029,0.982,0.009,0.005
1030,0.96,0.017,0.063
1031,0.974,0.007,0.008
1032,0.993,0,0.017
1033,0.978,0,0.069
1034,0.981,0.001,0.017
1035,0.937,0.023,0.045
1036,0.991,0.002,0.02
1037,0.917,0.016,0.097
1038,0.977,0.007,0
1039,0.98,0.005,0.025
1040,0.839,0.044,0.5
1050,0.936,0.041,0.003
