raw_row_number,date,time,zipcode,zcta_race,district,subject_age,subject_race,subject_sex,officer_id_hash,department_name,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,search_conducted,search_vehicle,search_basis,reason_for_stop,raw_subject_race_code,raw_subject_ethnicity_code,raw_search_authorization_code,raw_intervention_disposition_code
1,October,15:21:00,6106,hispanic_or_latino,SOUTH WEST,38,hispanic,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,H,N,I
2,October,1:12:00,6105,white,ASYLUM HILL,20,black,male,616e63d3fb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Defective Lights,B,N,N,I
3,October,10:06:00,6106,hispanic_or_latino,PARKVILLE,26,white,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,N,N,I
4,October,18:06:00,6106,hispanic_or_latino,PARKVILLE,26,white,female,5ac7b58482,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,N,N,I
5,October,19:56:00,6106,hispanic_or_latino,FROG HOLLOW,39,white,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,N,N,I
7,October,21:57:00,6105,white,ASYLUM HILL,51,hispanic,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,H,N,I
6,October,22:08:00,6106,hispanic_or_latino,FROG HOLLOW,34,white,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,N,N,I
8,October,13:18:00,6106,hispanic_or_latino,BEHIND THE ROCKS,24,hispanic,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Moving Violation,W,H,N,I
9,October,13:50:00,6102,hispanic_or_latino,SOUTH GREEN,37,white,female,172bfdfefb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,N,N,I
10,October,11:57:00,6106,hispanic_or_latino,FROG HOLLOW,42,black,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,B,N,N,I
11,October,20:47:00,6114,hispanic_or_latino,SOUTH END,49,hispanic,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,H,N,I
27,November,8:01:00,6120,black,CLAY-ARSENAL,38,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,B,N,N,M
28,November,8:29:00,6120,black,CLAY-ARSENAL,31,hispanic,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,W,H,N,M
21,November,9:34:00,6120,black,CLAY-ARSENAL,28,black,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,B,N,N,M
14,November,10:13:00,6105,white,ASYLUM HILL,57,black,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Registration,B,N,N,I
18,November,10:16:00,6105,white,ASYLUM HILL,33,hispanic,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,W,H,N,M
26,November,10:40:00,6106,hispanic_or_latino,FROG HOLLOW,59,hispanic,female,64c45ad59f,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Registration,W,H,N,V
19,November,10:41:00,6120,black,CLAY-ARSENAL,61,black,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,B,N,N,M
17,November,11:09:00,6103,white,DOWNTOWN,22,black,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,probable cause,Suspended License,B,N,O,M
16,November,11:44:00,6120,black,CLAY-ARSENAL,39,hispanic,female,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,W,H,N,M
23,November,13:17:00,6103,white,DOWNTOWN,23,hispanic,female,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Moving Violation,W,H,N,I
24,November,13:22:00,6103,white,DOWNTOWN,24,white,female,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,N,N,I
22,November,13:41:00,6106,hispanic_or_latino,FROG HOLLOW,64,black,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Window Tint,B,N,N,I
15,November,13:45:00,6103,white,DOWNTOWN,42,white,male,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,N,N,I
20,November,14:16:00,6106,hispanic_or_latino,FROG HOLLOW,31,white,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,N,N,I
12,November,17:20:00,6112,black,UPPER ALBANY,44,black,male,cc6f7759bc,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Other,B,N,N,V
25,November,19:42:00,6106,hispanic_or_latino,FROG HOLLOW,30,hispanic,male,75b9c63cdb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Defective Lights,W,H,N,I
13,November,21:45:00,6112,black,CLAY-ARSENAL,44,black,male,f4a14075d9,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,B,N,N,M
31,November,4:50:00,6120,black,NORTHEAST,25,hispanic,female,e8577fd4ce,Hartford,vehicular,FALSE,TRUE,FALSE,citation,TRUE,TRUE,TRUE,probable cause,Other,W,H,O,I
